173.00,69.00,0.00,9.88
173.00,69.00,0.00,9.78
173.00,69.00,0.00,9.78
173.00,69.00,0.00,9.75
173.00,69.00,0.00,9.77
173.00,69.00,0.00,9.94
173.00,69.00,0.00,9.68
173.00,68.00,0.00,9.80
173.00,68.00,0.00,9.75
173.00,68.00,0.00,9.77
173.00,67.00,0.00,9.75
174.00,66.00,0.00,9.76
174.00,65.00,0.00,9.72
174.00,63.00,0.00,9.71
174.00,63.00,0.00,9.73
175.00,62.00,0.00,9.79
175.00,61.00,0.00,9.74
176.00,60.00,0.00,9.74
176.00,60.00,0.00,9.78
176.00,60.00,0.00,9.68
176.00,59.00,0.00,9.80
176.00,59.00,0.00,9.80
176.00,58.00,0.00,9.75
177.00,56.00,0.00,9.77
177.00,54.00,0.00,9.79
178.00,54.00,0.00,9.76
178.00,54.00,0.00,9.75
178.00,55.00,0.00,9.72
178.00,55.00,0.00,9.82
178.00,55.00,0.00,9.79
179.00,53.00,0.00,9.77
179.00,51.00,0.00,9.72
179.00,46.00,0.00,9.80
179.00,42.00,0.00,9.71
179.00,40.00,0.00,9.70
179.00,39.00,0.00,9.77
178.00,39.00,0.00,9.72
178.00,39.00,0.00,9.80
179.00,37.00,0.00,9.70
180.00,33.00,0.00,9.80
181.00,31.00,0.00,9.78
182.00,31.00,0.00,9.73
183.00,30.00,0.00,9.80
183.00,31.00,0.00,9.78
183.00,29.00,0.00,9.71
184.00,32.00,0.00,9.74
185.00,33.00,0.00,9.78
185.00,34.00,0.00,9.77
186.00,35.00,0.00,9.78
187.00,34.00,0.00,9.71
187.00,34.00,0.00,9.77
188.00,32.00,0.00,9.84
188.00,33.00,0.00,9.87
189.00,33.00,0.00,9.75
190.00,32.00,0.00,9.81
191.00,32.00,0.00,9.89
192.00,32.00,0.00,9.77
192.00,32.00,0.00,9.82
194.00,33.00,0.00,9.74
196.00,34.00,0.00,9.77
198.00,34.00,0.00,9.75
200.00,35.00,0.00,9.82
202.00,36.00,0.00,9.73
203.00,39.00,0.00,9.76
204.00,41.00,0.00,9.69
205.00,42.00,0.00,9.80
206.00,43.00,0.00,9.68
205.00,43.00,0.00,9.81
204.00,43.00,0.00,9.76
203.00,43.00,0.00,9.72
200.00,39.00,0.00,9.72
191.00,33.00,0.00,9.77
169.00,27.00,0.00,9.79
130.00,22.00,0.00,9.78
90.00,20.00,0.00,9.80
63.00,21.00,0.00,9.69
62.00,22.00,0.00,9.80
63.00,22.00,0.00,9.79
64.00,22.00,0.00,9.85
64.00,21.00,0.00,9.80
65.00,21.00,0.00,9.73
65.00,21.00,0.00,9.76
65.00,21.00,0.00,9.76
65.00,20.00,0.00,9.78
66.00,20.00,0.00,9.82
67.00,20.00,0.00,9.76
67.00,21.00,0.00,9.88
68.00,22.00,0.00,9.64
69.00,24.00,0.00,9.85
70.00,25.00,0.00,9.73
71.00,25.00,0.00,9.76
72.00,27.00,0.00,9.80
72.00,28.00,0.00,9.76
74.00,29.00,0.00,9.77
75.00,30.00,0.00,9.72
76.00,31.00,0.00,9.74
76.00,32.00,0.00,9.75
77.00,34.00,0.00,9.76
77.00,34.00,0.00,9.72
77.00,36.00,0.00,9.76
79.00,41.00,0.00,9.82
79.00,43.00,0.00,9.72
79.00,45.00,0.00,9.79
79.00,47.00,0.00,9.80
80.00,47.00,0.00,9.74
80.00,50.00,0.00,9.80
81.00,51.00,0.00,9.74
82.00,53.00,0.00,9.72
83.00,55.00,0.00,9.83
83.00,58.00,0.00,9.79
83.00,60.00,0.00,9.75
84.00,63.00,0.00,9.67
84.00,65.00,0.00,9.74
84.00,68.00,0.00,9.78
84.00,76.00,0.00,9.79
86.00,82.00,0.00,9.79
87.00,88.00,0.00,9.77
89.00,93.00,0.00,9.76
89.00,96.00,0.00,9.76
91.00,100.00,0.00,9.73
92.00,103.00,0.00,9.75
91.00,103.00,0.00,9.77
91.00,103.00,0.00,9.72
91.00,107.00,0.00,9.74
86.00,112.00,0.00,9.80
85.00,119.00,0.00,9.65
82.00,126.00,0.00,9.73
81.00,131.00,0.00,9.80
81.00,134.00,0.00,9.78
81.00,135.00,0.00,9.78
82.00,135.00,0.00,9.72
84.00,135.00,0.00,9.73
83.00,138.00,0.00,9.76
80.00,141.00,0.00,9.71
78.00,144.00,2.00,9.74
83.00,146.00,2.00,9.62
84.00,147.00,2.00,9.82
82.00,147.00,3.00,9.73
79.00,145.00,5.00,9.74
78.00,145.00,6.00,9.77
76.00,144.00,6.00,9.75
75.00,145.00,6.00,9.75
75.00,146.00,5.00,9.88
76.00,147.00,6.00,9.82
76.00,146.00,6.00,9.82
76.00,145.00,6.00,9.78
77.00,142.00,7.00,9.65
79.00,138.00,7.00,9.76
82.00,132.00,7.00,9.77
83.00,115.00,8.00,9.77
72.00,83.00,8.00,9.83
51.00,46.00,9.00,9.84
40.00,30.00,10.00,9.69
35.00,23.00,11.00,9.73
36.00,19.00,11.00,9.80
40.00,18.00,11.00,9.65
43.00,14.00,12.00,9.82
44.00,11.00,11.00,9.75
47.00,11.00,10.00,9.81
47.00,12.00,10.00,9.76
46.00,13.00,10.00,9.81
46.00,12.00,10.00,9.74
46.00,11.00,11.00,9.78
47.00,9.00,10.00,9.74
49.00,8.00,11.00,9.78
50.00,7.00,12.00,9.76
51.00,7.00,12.00,9.65
51.00,7.00,12.00,9.70
52.00,7.00,12.00,9.65
52.00,8.00,12.00,9.82
52.00,8.00,11.00,9.75
52.00,9.00,11.00,9.71
53.00,10.00,11.00,9.82
53.00,10.00,9.00,9.75
54.00,10.00,2.00,9.72
55.00,11.00,0.00,9.77
54.00,12.00,0.00,9.75
53.00,12.00,0.00,9.67
54.00,13.00,0.00,9.77
53.00,12.00,0.00,9.77
53.00,12.00,0.00,9.71
54.00,13.00,0.00,9.72
54.00,13.00,0.00,9.77
